Data;Label Sentimen;
farinarala,aplikasi tring knpa ga bsa d buka min,;Negatif;
"tresno_jembernesia1899,""mau gadai emas, tp rekening pencairan gk tampil padahal rekening udh terdaftar di tring"",";Negatif;
sandy_ptraaa,update harga via aplikasi jam berapa ya biasanya info dong,;Netral;
arvyandwisaputra,halooo masa rekening pencairan ga terdaftar padahal udah didaftarkan sahabatpegadaian,;Negatif;
arvyandwisaputra,cek dm please,;Netral;
"biosetiapratama_,""saat ingin melakukan penjualan tidak bisa. karna rekening bank nya perlu ditambahkan lagi, padahal saya sudah menambahkan rekening bank saya. tapi tetap saja tidak bisa muncul di aplikasi, alhasil sampai sekarang saya tidak bisa melakukan penjualan emas. tolong diperbaiki bug seperti ini, sangat menjengkelkan. sampai sekarang saya tidak bisa transaksi"",";Negatif;
gregoriusrickyzo,cek dm min,;Netral;
"geminibovini,""emas naik tapi yg sudah ikut cicilan emas sejak 3 bulan lalu"",";Positif;
piepoh,cek dm min,;Netral;
rico16__,wah kacau disaat emas turun kenapa di apk ini aja gak turun sendiri?? apakah gk update tiap menit kah apa gmn?,;Negatif;
triani.nenk,sudah seminggu pengajuan belum berhasil ka,;Negatif;
hjjbbvvjb,min apanitu retaksir?? bisa nambahin pinjaman kan harga emas naik?,;Positif;
t.a.kusuma,min kl cicil emas di tring kenapa g bisa dp nya lbh dari 50 ?,;Netral;
"prirevolverr92,""harga emas naik drastis"",";Positif;
azzahinteriorjayapura,klo deposito emas di tring diambil sbelum jatuh tempo kena penalti,;Negatif;
ratna.dyra,apakah bisa beli emas batang langsung di outlet pegadaian?,;Netral;
sitintin__,min apakah ada kendala di tring? kok gak bisa beli emas ya? padahal kemarin2 masih bisa,;Negatif;
"stevieyuda,""kak, nilai kenaikan di aplikasi tring ku kok gak muncul "",";Negatif;
ochy16a,pegadaian lagi eror,;Negatif;
mas_prih93,kok saya dapat notip pembelian ditutup????,;Netral;
arioekas,min ini kenapa ya mau bayar cicilan di aplikasi tring error terus dari tadi,;Negatif;
miaelliana___,sahabatpegadaian min aku ada pembelian tabungan tp blm msuk ke rekenignya,;Negatif;
novisykt,min cek dm ya sahabatpegadaian,;Netral;
pirman_sah_90,kenapa gak bisa buka aplikasi,;Negatif;
"riana_verawati_hutasoit,""wah gimana ini adm tring masa top up emas pada ga berhasil,"",";Negatif;
alvnnavl,min pembayaran lewat spay kok gabisa dari kemarin,;Negatif;
rizkyadis__,min tolong wkwk,;Negatif;
omod_barber,ka saya top up 100 k tapi di apk ku gak masuk ?,;Negatif;
pirman_sah_90,sepertinya di sengaja agar tidak bisa transaksi karena emas lagi ath terus,;Negatif;
dwix_darma,lama gg min dibuka pembelian emasnya?,;Netral;
yanti.wardhani.5095,min tring error kah.. ga bisa di buka ini..,;Negatif;
aihara2526,tes,;Netral;
wulanafrn_,min tolong cek dm aku,;Netral;
elmira_elrasyid,kak kenapa aplikasi eror hari ini,;Negatif;
"candadfs,""min saya udah bayar biaya cetak emas tp kenapa tertulis gagal ya? tolong di check min, saya udh chat di whatsapp jg ga respon. call center yg bisa dihubungi yg mana ya?"",";Negatif;
"zain.alydrus,""terusin aja spreadmu setinggi langit sahabatpegadaian jauh diatas emas fisik, monopoli harga di aplikasi sendiri, sama saja seperti mengurangi timbangan. harga beli ditahan harga jual terjun bebas. usaha yg fair donk, jangan salahkan satu persatu usermu pindah ke aplikasi lain."",";Negatif;
"mithaholic11,""ini aplikasinya mau eror sampe kapan? sampe emas turun lagi gtu? biar g bisa gadai atau tambah pinjeman? g usa bales pake template, bilang ke bos lu sama tim it lu kerja yang amanah, jangan mau untung doang konsumernya dirugiin"",";Negatif;
"____mgash17,""emas naik dari kemarin."",";Positif;
"nienyg,""oi min emas dunia turun masak tring stay di 2,8, giliran emas turun aja kaga update, giliran naek buru amat updateny."",";Negatif;
cat_lovers888,tring pegadaian sudah 3 hari trouble.. kalau belum siap launching aplikasi tring jangan di terapkan ke nasabah dech,;Negatif;
prasetya_widhi,selisih tafsiran diaplikasi tring dan di cabang berbeda hampir 1 juta. di cabang lebih rendah,;Positif;
mega__chy,ada yg sudah ke cabang? apa nominal top up sesuai dengan yg di aplikasi tring?,;Netral;
"alexagimst,""kok top up pinjaman gak bisa? dan norek bank terdaftar di aplikasi hilang, di input ulang gak bisa, katanya sudah terdaftar di app, tapi kok hilang? wah wah wah jenis apa nih"",";Negatif;
aayangislmyh,sampe kapan nih apl tambah pinjaman gbs dipake?? uda mau seminggu,;Negatif;
bahagiya_ketut,sahabatpegadaian adain di singaraja bali dong min,;Netral;
"dwfnri,""harga emas lagi naik,"",";Positif;
avisayunda,min ini mau cetak fisik denominasi 0 mulu bagaimana ceritanya dah ah,;Negatif;
"bebankehidupan__,""apk tring bbrpa hari ini eror terus , apa lgi pada saat harga emas naik . sangat mngkecewakan sekali . yg saya pertanyakan knpa pas harga emas naik apk tring tidak bisa d gunakan apa dengan alasan eror apa sengaja d tutup ???"",";Positif;
"_senju79,""halo sahabatpegadaian , kenapa status cicilan emas saya di aplikasi tring belum terbayar, saya sudah bayar pagi ini di kntor pegadaian utk 2 bulan, tapi di aplikasi tring belum terbayar, sudah log out n login kembali dari awal tetap status nya belum terbayar."",";Negatif;
dwiha_ndayani88,halo min tolong baca dm aku.,;Netral;
nurrhaida,min.. udh buyback tgl 30 januari kmren.. tpi dana belum masuk,;Negatif;
"tsalissarah,""mau cetak emas gak bisaaa... harga buybackpun gak ikut kenaikan.. padahal baru mulai pake tring tanggal 3februari tapi tring udah antisipasi duluan . jadi hikmahnya dapat potongan spread kahh min nabung emas buat yang baru join???. tolonglah, minimal cetak fisik harus bisa kalo gamau rugi kenaikan emas via buyback."",";Negatif;
"sigit_ssp,""kenapa min giliran emas dunia hari ini naik, tring cepat banget naekin harga nya."",";Positif;
aayangislmyh,pak damarlatrisetiawan perusahaan yg bapak pimpin aplnyaa uda 1 minggu pak tdk bisa digunakan. jawaban dari sahabatpegadaian template bgt. tlg responnya,;Negatif;
"mahyudinsaprian,""hallo min, sy sudah cicil emas di pengadaian, tenor 12 bulan, baru bayar cicilannya 1 kali, bulanan depan mau pelunasan, mumpung ada dananya, gmana proses pelunasannya"",";Positif;
mom_dzakraf,min ini aplikasi tring nya ko eror sih udah ada 2 minggu dari tambahan dpt tinggi sampe sekarang anjlok lagi ga bisa2 di ambil tolong dong cepat di perbaiki,;Negatif;
_helloisti_,min kenapa di aplikasi gak muncul tambah pinjamannya sedangkan limitnya ada ? sahabatpegadaian sahabatpegadaian,;Negatif;
"angin.lakuning,""halo min sahabatpegadaian , misal sy dftar tabungan emas di apk tring, terus belum digunakan untuk menabung emas, apakah tetap dikenakan biaya tahunan?"",";Netral;
fauzi_ahmad_syarif,min kenapa gk bisa di cetak emasnya min,;Negatif;
titikkurni4wati,kebanyakan maaf..tp gak ad aolusi...parah...katanya tring mempermudah..malah memperaulit..hadeh,;Negatif;
"anggitaaputri_96,""hallo min, kenapa tenor cicilan emas yg 3bulan dan 6bulan di hilangkan ya di tringpadahal kan kita ada yg gamau lama lama cicilnya"",";Negatif;
gold_rush85,sudah bisa top up lewat tring tapi limit udah sisa2,;Netral;
detyjynt,katanya bumn dan terjamin tapi aplikasi aja nyusahin nasabah seluruh indonesia,;Negatif;
niarachma88,masih mgetawain tring yg ga bisa2 wkwkwkw,;Negatif;
kogure0286,kalau beli emas di tring itu ada batas maksimal nya ngak sih ?,;Netral;
"sweetpooh999,""hai teman2, aplikasi tring untuk top up tambah udah bisa. silahkan di cek di aplikasi masing2. meskipun nominal tambahnya agak turun dari jumlah nominal minggu lalu"",";Positif;
dwirespatiningrum,halo kak...kenapa penjualan emas saya belum terkirim ke rekening? padahal status di aplikasi sudah sukses?,;Negatif;
yusufalfathony,jadi mkin percaya kalau nabung emas digital itu haram lihat komentar netizen disini..,;Negatif;
mn.imam,kenapa harga anjlok spreadnya di tinggikan min ?,;Negatif;
"grace_rintjap,""terimakasih admin, jaringan sudah stabill.. sudah bisa transaksi kemballi menggunakan tring"",";Netral;
gie_yuli_an,makin ke sini makin gak nyaman,;Negatif;
"by.ketha,""min saya cetak emas di 29jan keterangan sedang proses, lalu dana cetak dikembalikan lg kerekening saya di 5feb, itu kenapa??????"",";Negatif;
"a.p.r.i.13,""aplikasi tring mohon di benerin lagi, error trs dari bulan januari, percuma ada aplikasi tring klo error trs"",";Negatif;
dilabagu_,aplikasi tring sangat buruk,;Negatif;
"qqshop223,""sahabatpegadaian sampai kapan aplikasi eror gak bisa top up pinjaman , sudah 6 hari masih eror"",";Negatif;
hawin_marlistya,min apakah tambah pinjaman masih belum bisa sampai sekarang,;Negatif;
"halwa_desert,""ditengah2 harga emas anjlok,lg dag dig dug heboh penipuan emas online di china,malah aplikasi tring ikutan lemot..ini beneran ada jaminan garansi suatu saat segala aset qt di tring aman kah??? sahabatpegadaian"",";Negatif;
trendsetter.bish,kode promo gajianemas abis,;Netral;
"herput7,""baru baru ini terjadi scandal di shenzen cina, investasi emas di cina colapse sehingga plafon digital tidak berfungsi. apakah terjadi jg dengan pegadaian???? karena aplikasi selalu error dan transaksi penambahan pinjaman tidak bisa denga tulisan terjadi kesalahan. apakah tanda2 pegadaian colapse?????"",";Negatif;
donalduck_1984,hallo kak mau tambah gadai kenapa tidak bisa ya?,;Netral;
"agusjingga,""hi min, mau nanya untuk cetak fisik emas kog selalu habis stocknya"",";Negatif;
ariturner,kapan apk tring normal lagi?,;Negatif;
dhayu.20,mau cetak fisik emasku kok belum ready dioutlet ini gimana min??? mengeceeakan sekali btw saya area kalimantan,;Negatif;
agungraiii,apakah kasus di china akan bernasib sama dengan di indonesia,;Negatif;
n.m.chumtikk,hargan emas naik trun bgtu mau jual dan tambah pinjam langsung ganguan sengaja kah ... atau gimana giliran beli emas nya kok bisa apa pengadegan takut rugi .... plafon aplikasi gimana pencerahannya,;Negatif;
"zan93284,""min sahabatpegadaian sudah hari ke 5 apk tring masih belum bisa jg buat topup gadai , sampai kapan erornya min ?"",";Negatif;
elateteh,min ini gimana aplikasi tring eoro apa gimana ko g bisa transaksi,;Negatif;
arifdamar,halo min sekaramg cetak emas di aplikasi tring kok tidak bisa ya. apakah emas yang kita beli tidak ada emas fisiknya?,;Negatif;
prilly_sia,ini aplikasi masih masih eror belum bisa di gunakan?????,;Negatif;
_misss01,gamau lagi cicil emasnya kapok dilunasin percepat. masa emasnya ga bisa diambil udh bolak balik 3 kali dari desember di janjiin januari januari dijanjiin febuari tanggal 2 kmrn febuari tanggal 2 kesana malah ngomongnya blm dikirim dijanjiin nya minggu ini kapok padahl sering banget nyicil. saya sales motor aja kalo udh motor lunas aja bpkb paling lama cuma brp hari kalo pelunasan percepat ini mah ga konsisten pelayanannya dijanjiin doang males banget jadinya tinggal 2 gram lagi nyicil udh ga mau nyicil lagi kapok ga bisa diambil ambil mentang mentang lewat aplikasi,;Negatif;
"gunawanprastiawan,""coba penjelasan ny min ,knpa di china akhir ini bnyk brita emas tidak bisa d jual,tidak bisa ambil fisik,?apa kah nasabah tring akan sma sperti brita di china?"",";Negatif;
grace_rintjap,sampai skrg aplikasi kayak bangsat ga bisa terus jaringannya,;Negatif;
"grace_rintjap,""jaringan tring lagi kacau ya, tolong ditindak lanjuti minn"",";Negatif;
grace_rintjap,tolong dong admin jangan bikin ga sejahtera gini pelanggan pegadaian,;Negatif;
nmosselman_,ga bisa cetak fisik nih.. kuatir,;Negatif;
cv_murah___,aplikasi macam apa,;Negatif;
khalisa79245,min.. aplikasi tring kenapa ya limit pinjaman tersedia tp ga bisa d tambah kn,;Negatif;
chiska_witlove,min dm kenapa ditutup.ini tambah pinjaman kenapa blm bisa iya,;Negatif;
"keynalida,""min, sampai sekarang masih ngga bisa juga ya top up via tring?"",";Negatif;
eriyan_eni,harga emas naik barusan kenapa galery malah turun gak ngikutin hrag pasar ya waduh bisa rugi klo kyk gini customer nya,;Positif;
sintyatineu,hallo min hari ini harga emas turun loh di apk sebelah 2.590.000 di tring masih tinggi aja 2.857.000 selisih harga 267rbuan jauh bgt min. ini eror apa emang ga mau ikut turun soalnya di liat2 turun nya tipis banget. kemarin kemarin selisih gapernah sejauh ini sama apk sebelah mana selisih sama buyback juga 200rbuan,;Negatif;
tozoakari,mau beli emas gak bisa,;Negatif;
"wenyovarina,""aku udh dp cicilan emas "",";Positif;
"nurdinhilomalo,""min, mksud dari cicil emas batangan itu gmna?"",";Netral;
veronica_anjas,harga emas dunia sudah mulai naik,;Positif;
harry_pariswara,1. kapan stok cetak fisik ready min?,;Netral;
july_laia,tolong dibantu wa yg bsa saya hubungi saya cicil dp dr bln lalu gk diproses2 mohon di refund aja dp saya,;Negatif;
"susilo.re7no,""hey min, knp cetak. fisik gramasi kecil gak bisa semua, kosong trus"",";Negatif;
zan93284,min sahabatpegadaian aplikasi tring kapan benernya ?,;Negatif;
taufanadisatya,min dm min,;Netral;
"dheopuspita,""halo min, emas ga desember kok blm ada konfirmasi pengiriman"",";Negatif;
shintamel3_,mau nabung emas ga bisa va nya selalu gagal kenapa ya?,;Negatif;
lee_raellll,menyesal nabung di aplikasi tring. harga nya gak update dengan harga emas dunia. langsung geser ke aplikasi lain,;Negatif;
dwielvyyana,pas harga emas murah kok apk tring malah ga update stag aja harganya,;Negatif;
poppynovita17,biaya cetak fisik untuk emas batangan galeri24 per 1gram nya berapa ya min?,;Netral;
eva_noer85,min spread my skrg tinggi amat,;Negatif;
septamardian,sangat disayang kan aplikasi tring ini. klo belum bagus jgn disuruh beralih ke tring. lebih baik penggadaian digital aja,;Negatif;
"benzbu03,""min, saya beli cicilan emas kmrin tapi sampe skrang pengajuan belum berhasil"",";Negatif;
epi8585,aplikasi tring ko skrg lebih nyeselin lg ya untuk topup gadai ga bisa dengan keterangan terjadi kesalahan aplikasi saat ini blm tersedia pdhl jelas harga emas udh naik,;Negatif;
"dlatifah,""masih eror aja min, mau sampe kapan??????"",";Negatif;
"sigit_ssp,""kok tambah aneh aja ini tring, min kenapa spread selisih jual beli jadi 2300 an gini? saya liat di trading view emas hari jumat turun 8,84 loh min, dan saya liat di aplikasi treasury yg tiap menit harga nya berubah,harga beli skrg 2.753.908 pre gram dan harga jualnya 2.661.088 per gram gak jauh spread selisih beli jualnya, tapi kenapa di pegadaian ini aneh sendiri harga belinya malah masih tinggi 2.883.000 per gram dan yg lebih aneh lagi baru hari ini selisih jualnya malah tambah jauh di 2.652.000 per gram kenapa bisa gini ini min???? gila aneh dan kocak ini mah namanya. ayolah min tolong lah kalau emang keadaan nya skrg emas lagi turun signifikan 9 gini ya di turun kan harganya di range 2.7jutaan seperti aplikasi treasury yg harganya update tiap menit, jangan di main2kan kek gini harga jual beli emasnya. terus kalau emang harga emas di pegadaian 28830 per 0,01gram nya ya selisih untuk jualnya harusnya 27830 juga atau malah di 28000 per gram kek gini fer namanya gak ada yg di tutupin, ini spreadnya beli jual malah tambah jauh kalau kek gini buat konsumen jadi rugi min. tolong lah jangan tambah aneh kek gini harga beli jual seperti di main2kan."",";Negatif;
"hanfhnnn,""hallo min, progres transaksi emas kenapa tulisannya sedang di proses terus ? padahal udah dari kemarin."",";Negatif;
noymoshimoshi,min..applikasi tring kapan bnrnya?lg bu ini...,;Negatif;
"susanasarumaha,""syukur ya allah, aku salah satu sebagai pemenang giveaway tabungan emas 0,5 gram tring digital lounge di kota kasablankajakarta...terimakasih ya tring, aku tetap setia padamu"",";Positif;
"lenimaula,""ini aplikasi tring kira eror sampe kapan yaaa,, tanggal 5 apa tanggal 10 ni ? apa lebih? ko transaksi gagal trussss ga ada waktu buat dtg ke outlet niy"",";Negatif;
"ameliamery_88,""admin saya sdh melunasi cicilan pembelian emas batangan sejak tgl 12 januari 2026 , tapi kenapa sampai sekarang emasnya belum juga ada?"",";Negatif;
"ciklim__,""gmana min spreadmu yang sangat jauh, sya sudah nabung dri thun 2018 dopegadaian bru kali ini jumpa selisih yg sangat jauh. nama akun lho sahabat pegadaian sahabat apa gitu pemeras iya sesuai. ngambil untung disaat pelanggan rugi"",";Negatif;
hvn0024,aplikasiny knp erorr niii,;Negatif;
deliimaasarii,min kenapa dr smlm aplikasi gagal ya untuk tambah gadai?,;Negatif;
fos_atap,min saya kemarin mengajukan pinjaman do aplikasi berhasil tapi saldonya belum masuk sudah 3 hari,;Negatif;
supermasisipil,yg bener aje harga lu mahal bgt emasnya,;Negatif;
amala.96,,;Netral;
babyspaseyegan_official,kl turun saatny beli. turun lagi mau beli lagii,;Positif;
"rizalmza,""spread lu gak ngotak, giliran emas naik harga beli nya langsung di update,giliran emas koreksi besar besaran harga beli nya hanya di kurang dikit,tapi harga buyback nya turun jauh, pikir pikir lagi deh mau nabung emas disini"",";Positif;
andie_nuar01,sepreadnya 231k... waduh ada apa ini min,;Negatif;
beerosiee,kok spreadnya semakin tinggi ya?? setauku dlu batasnya 34 aja sekarang bisa sampe 8an lebih dari 200ribu emang gitu sekarang atau eror? kalau sampe seterusnya gitu kecewa bgt sih sama tring,;Negatif;
"haddy813,""harga emas pegadaian hari ini, anomali banget. masa, lebih tinggi dari harga antam. padahal biasanya, selalu lebih rendah dari harga antam karena emas pegadaian tabungan emas kan masih harus keluar biaya cetak apabila ingin ambil fisik. benar2 anomali. harga digital, lebih tinggi dari harga cetak"",";Negatif;
lucia_handz,kak di galeri24 apa sekarang available untuk lm nya yg ga perlu nyicil apa nabung ? sekedar tanya dg nada halus ya kak.. terima kasih,;Netral;
sitiutamip,aplikasi tring kok dari kemarin kesalahan layanan mulu ya? terutama buat top up tambahan. ini sengaja diginiin atau gimana ya?,;Negatif;
"utari.fitri7,""gila spread harga beli dan harga jual nya di atas 8, biasa mentok di 3,8 tp hari ini beli sya hitung spread harga beli dan jual 8,01. user lain harus paham tentang ini."",";Negatif;
"adi_wepe,""sepakat, beli harus ads tujuan dan sesuaikan dengan rencana keuangan, jangan asal fomo."",";Positif;
"cldyirnna,""udah lunas cicilan emas, tapi emasnya ga ada"",";Negatif;
"merijufri,""anjlok bgt,baru isi smalem"",";Negatif;
"odeldelll_,""min, aku baru aja daftar di tring, kalau mau cetak buku tabungan adakah minimal saldonya? soalnya belum pegang buku tabungan belum berani ngisi banyak"",";Netral;
"anhshint,""udah 2 hari min, saldo jual emas saya belum masuk ke rek bank saya, gmn nih?"",";Negatif;
emirsal_yuzka,min untuk cetak fisik emas di cabang pegadaian bisa ya? proses brp lama,;Netral;
amrillahyusli,mau nambah pinjaman lewat tring ko blm bisa?,;Netral;
insoslian,please aplikasi di benerin dong,;Negatif;
"riniwenny68,""spread harganya banyak bgt, gk spt biasanya min"",";Negatif;
litambita,mau cetak fisik kenapa stok kosong terus ya,;Negatif;
"achmadkuncoro,""kacau.. harga spreadnya naik jadi 230rbuan setelah harga turun, sebelum harga turun masih 111rbu.. ama jualnya dibatasi cuma 50gram, biasanya 100gram sehari"",";Negatif;
"rj7wpn,""ada apa ya aplikasi tring ,,,"",";Negatif;
fredynugroho46,... jatuh.. kih..,;Negatif;
irmamair279,wah turunnya bnyak bnget ni. yg semula 30 jd 26,;Negatif;
m.abyan,bagaimana respon admin tentang platform emas digital di china yg kolaps,;Netral;
wallbreaker_24,sengaja di kasih turun di tanggal gajian,;Negatif;
es.zt_98,cool story bro skrg update harga jgn mentang turun gk update harga giliran naik lngsg jam 10.00 pasti update,;Negatif;
ham.alamsch,300ribu per gram alamak wkwkwk,;Positif;
dlatifah,sahabatpegadaian min tring blm normal ya?,;Netral;
hilya_baby,utuk cicil emas yang progresnya dalam proses kapan berubah sampai pengajuan diterima woyy,;Negatif;
"purplwwgrl,""jangan percaya dengan tring lagi guys aplikasi bobrok sampah, apa apa dipersulit, bahkan udah 1 minggu perbaikan ga selesai selesai mereka lebih takut rugi daripada mendengarkan komentar negatif"",";Negatif;
feeck4,min knp harga emas gk update itu di tring,;Negatif;
"rendi_roeswandi,""kenapa spread tabungan emas di tring disaat harga emas turun spreadnya jadi melebar begitu besar? awal2 80an sekarang 100rban lebih bahkan pernah menyentuh 200rban, saya yg tadinya mau nambah jadi enggan karena spreadnya terlalu gede untuk sekelas retail atau nabung. tolong lah pegadaian"",";Negatif;
"poppynovita17,""biasanya klo spread naik gitu bisa turun lagi gak ya baru mau mulai nabung, masih pemula gak tau apa2 malah kena jebakan batman nangis bombay gak sih"",";Negatif;
fendimartafici,aplikasi tring eror terus menerus..parah,;Negatif;
ikohsarah,cetak fisik semua merk dan semua gramasi kosong...jadi ga bisa cetak...klo mau cetak gimana klo d bilang kosong trs,;Negatif;
"candraberr02,""kenapa spread nya terlalu jauh skrg utk pegadaian emas digital,, spreadnya terlalu jauh"",";Negatif;
kekkar_manako,trending topik hari ini spread emas digital pegadian naik sangat brutal membuat aksi profit taking masal menjadi batal dikekang pegadaian,;Negatif;
bartho_shb,hmm..kata2 penghiburan dr mimin buat yg ngegas beli emas di tanggal 30 jan pagi,;Negatif;
jandri_sitindaon,untung di waktu naik2 nya itu aku jual semua langsung jadi keuntungan gak hilang. tunggu anjlok jauh baru beli lagi,;Positif;
melansims__,aplikasi tring eror. masa buat login aplikasi aja tbtb gabisa pdhal baru trnsaksi pmbyaran emas. giliran ngadu ke cs dsuruh nunggu 7 hari kerja. pdhal cuma mau login aja susah,;Negatif;
"dhia_shevanka,""aplikasi tring untuk penambahan pinjaman selalu ga bisa, bgmn ini??"",";Negatif;
"tkorchidjaticempaka3599,""hari ini tring gak bisa pencairan,maaf kenapa ya"",";Negatif;
anrinicodemus,cek dm min,;Netral;
indrawanz9999,kesempatan beli ni,;Positif;
zidan200722,mumpung lagi turun ayok kita all in,;Positif;
taufikk_opik,anjlok parahh,;Negatif;
aditya.zamroni,kemarin jual 50gr saat 2.987.000 nunggu stabil dulu saj buy back,;Positif;
miftahulhuda1453,enaknya jangan beli sekali banyak tapi beli dikit tapi rutin.,;Positif;
"kidung.nawacita1034,""namanya emas mah ttp untung, kalo turun beli untung.. kalo naik ya simpenan qt pasti udh balik modal"",";Positif;
"ibuk_gendhis,""gue perhatikan otw tgl 123 setiap bulannya cenderung turun dan stabil, gak pernah puncaknya di awal bulan hehe apa krn tgl 123 tempo bagi hasil nasabah yg deposito emas"",";Netral;
nirwanagandhi,time to serok,;Positif;
salmanparizky,angus 11 juta dalam semalambingung mau nambah atau take provit dulu,;Positif;
"ardiana_lia21,""kalo besok senin spreadny ak balik normal 3,5 mending pindah ksebelah deh"",";Negatif;
afrinarizkii,jgn panik yaaaah,;Netral;
tmrromadhon95,kemarin ihsg tumbang skrng emas juga ikuttan nyungsep,;Negatif;
appazayd,min.. usut tuntas penipuan online atas nama pegadaian_id s,;Negatif;
dsupriayadi,saat nya serok mungpung tanggal gajian ....,;Positif;
maumam.apa,serok sekarang,;Positif;
"nairaadibahoctavyadi,""jadi kurang respect ,,,buyback turun 2x lipat dri kmren"",";Negatif;
"pwhvinnnn,""anjlokkk,lost 1,5"",";Negatif;
evichristina4,harga emas digital masih turun,;Negatif;
achmad_radinal94,maintenance minnnn,;Negatif;
mendhiz99,pagiÂ² udah pusyiiing.. ancurr jum,;Negatif;
luks_gis,ternyata mekanisme spread tring pegadaian dijital merugikan konsumen ketika katanya jual diatas 120 dari beli maka spread akan sangat tinggi. enak penjual dong jual mahal pas diterima sangat rendah.,;Negatif;
"vedantayoga.id,""spreadnya terlalu jauh, menahan harga beli di 2.8 juta sementara harga jualnya jatuh ke 2.6 juta, hal ini jadi catatan negatif bagi tring, maaf selama ini terjadi, rating saya berikan bintang 1"",";Negatif;
dahlia_tiara89,min saya mau beli emas lewat tring kenapa ketika mau bayar gagal terus?,;Negatif;
rickyamanda_,rek bca kenapa eror terus gimana sih sekelas bumn gini.,;Negatif;
kheiiarf_,akibat kemarin byk yg jual spread nya sampe 231 kacau padahal sblm hari kamis masih 90rban,;Negatif;
"lorens.junicha,""pegadaian perusahaan besar ya , di adakan aplikasi untuk mempermudah , tapi sampai skrg tidak bisa di gunakan . tolong profesional"",";Negatif;
"akumifnjanah,""sayar bayar gadai di tring hari jumat, di mbanking berhasil tp du tring gagal, saldo ga balik, suruh tunggu 1x24 jam sampe skrng ga ada kejelasan, wa ga dibales, telpon call center suruh tunggu lg 5 hari pdhl udh jatoh tempo"",";Negatif;
"tineindriyani,""kak saya coba beli emas pake shopee metode pembayarannya VA cukup simpel"",";Positif;
amadalias,aplikasi tring bisa langsung daftar sendiri setelah download ,;Positif;
tatie_pradana,kenapa spread buybacknya malah tinggi banget beda banget sama yg dulu ?,;Negatif;
antam.today,,;Negatif;
"tokododoladiyasabarokah,""jadi takut cicil emas batangan dipegadaian, cicilan lunas emas batangan belum tersedia sampai sekarang engga ada info nya"",";Negatif;
dnyrbrt,utk cetak emas digital ada biasa tambahannya lagi mendingan langsung saya jual saja,;Positif;
"karn.ssss,""min, spreadnya bisa berubah2 gitu ya? apakah akan semakin besar semakin lama? atau gmn? aturan mainnya gmn kok bisa tiba2 tinggi spreadnya? terus apakah nanti bisa balik normal lg?"",";Negatif;
"darmadwi16,""min di tring gak bs tambah gadai yaa, sdh brp hari gak bs terus"",";Negatif;
s.nuriah25,spreadnya skrng kenapa jadi jauh bgt?,;Negatif;
ariswati.83,serem harga jual slisih 200rb sendiri.... anjlokkkkk,;Negatif;
d_e_n_a_defatra,aplikasi tring nya ko ga bisa y,;Negatif;
"justacoffee,""yang ngalamin emas sejak 500kgram tetap kalem, awasi, kuasai. makasih pegadaian"",";Positif;
ahmadzuba_,min harga emas turun lag kah i profit di tring turun nih lumayan hampir 5 jt,;Negatif;
"vickynovenda04,""hijarah dari aplikasi tring spread nya ngk masuk akall, spread gorengan"",";Negatif;
gabrielmiracle,kacaw spread nya,;Negatif;
"shemotgozong,""mau tanya min..q kan pemula ni nabung di tring, sekarang hrga mas turun kok jumlah tabungan jg ikut turun ya?? mohon penjelasan trimakasih"",";Netral;
awandaerna_,semoga pegadaian cepat buka di jonggol,;Positif;
kang.cam,aplikasi brengsek,;Negatif;
mulyadicandra06,,;Negatif;
"hanawr_,""hallo kak , apk tring apakah lagi eror? saya dr kemaren tidak bisa membuka loading trs"",";Negatif;
hidayatii_99,sekarang spread nya gede ya pegadaian. ga kayak dulu,;Negatif;
vitriehapsari,duh spreadnya jauh banget,;Negatif;
dyahd57,min... harga buyback spread tinggi hari ini...,;Negatif;
nararedit,spreadnya makin naik hadeh,;Negatif;
ridwansyah.2899,spread nya merosot banget min,;Negatif;
prettycancer19,spread nya jauh bgtt per hr ini,;Negatif;
fredynugroho46,kira2 besuk terjun lagi gak min,;Netral;
"ashaartha.stories,""mau masukin lagi pas harga turun"",";Positif;
"gp_araja_sasando,""mohon pencerahan, di china emas digital gagal bayar, apakah di tring aman soalnya sy investasi emas di tring. terimakasih"",";Negatif;
"@SriWarastri,""Kalau menurutku lebih ke emas digital harganya tidak bisa dipermainkan,emas digital harganya bisa dipantau setiap saat"",";Positif;
"@SetyoPras-n7j,""Bukan penipuan sih, kan di awasi OJK juga.<br>Beli Emas digital itu hanya dapat NAMA &amp";Positif;
"@drhasannurhasan3015,""aplikasi tring penipu aku sdh cetak fisik dan sdh transaksi sdh hampir 2 bulan tks ada realisasi nya, penipuan.."",";Negatif;
@BEJO-um3xg,Pemula...2026 baru mulai nabung emas digital...lngsung genjot 1gram...ðŸ˜,;Positif;
@FuadArpel,sya rencana mau nabung 100k/bulan mending di buat nabung emas digital apa invest di bibit ya?,;Positif;
@indrasukmayadi4116,Terimakasih,;Positif;
@awolprobolinggo-li2yo,Ty apakah emas digital itu,;Netral;
@Sofikumbang18,Di cina ribuan tertipu dgn emas digital...,;Negatif;
